RA;ano_dados;fase;idade;genero;anos_ingresso;instituicao;pedra_atual;inde_atual;indicador_auto_avaliacao;indicador_engajamento;indicador_psicossocial;indicador_aprendizagem;indicador_ponto_virada;indicador_adequacao_nivel;indicador_psico_pedagogico;defasagem
48;2023;6;16;F;6;Bolsista;Ametista;7,797058333;6,7;8,4;6,26;7,7;7,6275;10,0;7,65625;0
109;2023;6;17;M;2;Bolsista;Topázio;8,3184;8,3;9,9;7,52;8,3;8,59;5,0;8,75;-1
80;2023;6;17;F;6;Bolsista;Ametista;7,252275;8,3;8,4;6,89;6,3;7,465;5,0;7,96875;-1
91;2023;6;17;F;7;Bolsista;Ametista;7,42395;10,0;7,4;6,89;7,4;7,4675;5,0;7,8125;-1
1217;2023;6;17;F;0;Pública;Ágata;6,064625;0,0;7,9;5,63;5,9;7,38;5,0;7,65625;-1
92;2023;6;17;F;7;Bolsista;Ametista;7,375916667;9,6;9,4;5,63;6,7;7,045;5,0;7,1875;-1
96;2023;6;17;M;2;Bolsista;Ametista;7,610791667;9,6;8,9;7,52;6,4;7,84;5,0;7,65625;-1
1218;2023;6;17;M;0;Pública;Ágata;6,8265;7,5;9,2;5,0;5,3;7,1325;5,0;7,5;-1
1219;2023;6;16;F;0;Pública;Ametista;7,215141667;8,8;6,5;5,63;6,3;7,38;10,0;7,34375;0
1220;2023;6;17;F;0;Pública;Ágata;6,46725;0,0;9,0;5,0;6,8;7,63;5,0;7,8125;-1
84;2023;6;18;F;5;Bolsista;Ágata;6,034416667;0,0;8,8;2,52;6,0;7,6725;5,0;7,8125;-2
99;2023;6;17;M;4;Pública;Ágata;6,68045;7,9;8,3;5,63;4,5;7,4225;5,0;7,8125;-1
87;2023;6;16;M;2;Bolsista;Topázio;8,6625;7,5;10,0;5,63;9,3;8,385;10,0;8,125;0
89;2023;6;17;M;2;Pública;Ágata;6,700775;8,3;8,1;5,0;5,1;7,465;5,0;7,34375;-1
1221;2023;7;22;F;0;Outros;Topázio;8,027466667;9,2;9,1;6,26;8,7;8,09;5,0;8,0;-1
27;2023;7;17;M;7;Bolsista;Ametista;7,921266667;6,7;7,7;6,89;6,9;8,8825;10,0;8,625;0
1222;2023;7;19;F;0;Outros;Ametista;7,026466667;7,1;10,0;5,63;6,8;6,005;5,0;6,875;-1
32;2023;7;17;F;5;Bolsista;Ágata;6,716666667;0,0;8,2;3,77;7,9;6,8775;10,0;7,375;0
19;2023;7;19;F;1;Outros;Ametista;7,710866667;7,9;9,4;5,63;7,8;8,1725;5,0;7,75;-1
62;2023;7;17;F;1;Pública;Ametista;7,610333333;0,0;9,8;6,89;7,5;8,215;10,0;8,25;0
1223;2023;7;17;M;0;Pública;Topázio;8,187766667;8,8;9,3;5,0;9,0;7,2925;10,0;6,875;0
38;2023;7;17;F;6;Bolsista;Topázio;8,835333333;9,6;9,7;7,52;7,7;8,8825;10,0;8,75;0
1224;2023;7;20;M;0;Outros;Ametista;7,5524;8,3;9,4;5,0;8,0;7,6325;5,0;7,125;-1
39;2023;7;17;F;6;Bolsista;Topázio;8,710333333;9,6;9,1;7,52;7,8;8,7575;10,0;8,75;0
1225;2023;7;18;F;0;Outros;;;7,5;;2,52;;;5,0;;-1
76;2023;7;15;F;6;Bolsista;;;10,0;;2,52;;;10,0;;2
26;2023;7;18;M;1;Bolsista;;;0,0;;7,52;;;5,0;;-1
1226;2023;7;16;F;0;Bolsista;;;9,2;;7,52;;;10,0;;1
93;2023;7;16;F;7;Bolsista;;;7,9;;3,14;;;10,0;;1
119;2023;7;15;F;7;Bolsista;;;6,7;;2,52;;;10,0;;2
1227;2023;7;16;F;0;Bolsista;;;9,2;;2,52;;;10,0;;1
1228;2023;7;17;F;0;Bolsista;;;7,5;;2,52;;;10,0;;0
1229;2023;7;16;F;0;Bolsista;;;8,3;;7,52;;;10,0;;1
98;2023;7;15;F;6;Bolsista;;;7,9;;2,52;;;10,0;;2
172;2023;7;15;F;5;Bolsista;;;0,0;;3,77;;;10,0;;2
86;2023;7;17;M;7;Bolsista;;;8,3;;6,89;;;10,0;;0
1230;2023;7;16;F;2;Bolsista;;;0,0;;2,52;;;10,0;;1
1231;2023;8;22;M;2;Bolsista;;;;;;;;10,0;;0
1232;2023;8;21;M;2;Bolsista;;;;;;;;10,0;;0
1233;2023;8;22;F;2;Bolsista;;;;;;;;10,0;;0
1234;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1235;2023;8;21;M;2;Bolsista;;;;;;;;10,0;;0
1236;2023;8;21;F;2;Bolsista;;;;;;;;10,0;;0
1237;2023;8;21;F;2;Bolsista;;;;;;;;10,0;;0
1238;2023;8;21;F;2;Bolsista;;;;;;;;10,0;;0
1239;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1240;2023;8;20;M;2;Bolsista;;;;;;;;10,0;;0
1241;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1242;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1243;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1244;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1245;2023;8;20;M;2;Bolsista;;;;;;;;10,0;;0
1246;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1247;2023;8;21;F;2;Bolsista;;;;;;;;10,0;;0
1248;2023;8;20;M;2;Bolsista;;;;;;;;10,0;;0
1249;2023;8;26;M;2;Bolsista;;;;;;;;10,0;;0
1250;2023;8;20;M;2;Bolsista;;;;;;;;10,0;;0
1251;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1252;2023;8;21;F;2;Bolsista;;;;;;;;10,0;;0
1253;2023;8;23;F;2;Bolsista;;;;;;;;10,0;;0
1254;2023;8;19;M;2;Bolsista;;;;;;;;10,0;;0
1255;2023;8;19;M;2;Bolsista;;;;;;;;10,0;;0
1256;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
1257;2023;8;18;M;2;Bolsista;;;;;;;;10,0;;0
1258;2023;8;24;M;2;Bolsista;;;;;;;;10,0;;0
1259;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1260;2023;8;19;M;2;Bolsista;;;;;;;;10,0;;0
1261;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1262;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1263;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1264;2023;8;20;F;2;Bolsista;;;;;;;;10,0;;0
1265;2023;8;20;M;1;Bolsista;;;;;;;;10,0;;0
1266;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
1267;2023;8;22;F;2;Bolsista;;;;;;;;10,0;;0
1268;2023;8;19;M;2;Bolsista;;;;;;;;10,0;;0
14;2023;8;21;M;1;Bolsista;;;;;;;;10,0;;0
13;2023;8;18;M;7;Bolsista;;;;;;;;10,0;;0
12;2023;8;18;F;3;Bolsista;;;;;;;;10,0;;0
7;2023;8;19;M;6;Bolsista;;;;;;;;10,0;;0
6;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
5;2023;8;18;F;7;Bolsista;;;;;;;;10,0;;0
1;2023;8;20;F;7;Bolsista;;;;;;;;10,0;;0
36;2023;8;18;F;4;Bolsista;;;;;;;;10,0;;0
35;2023;8;18;F;4;Bolsista;;;;;;;;10,0;;0
34;2023;8;18;M;7;Bolsista;;;;;;;;10,0;;0
31;2023;8;18;F;4;Bolsista;;;;;;;;10,0;;0
23;2023;8;17;M;2;Bolsista;;;;;;;;10,0;;1
88;2023;8;18;M;2;Bolsista;;;;;;;;10,0;;0
1269;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
49;2023;8;18;F;1;Bolsista;;;;;;;;10,0;;0
1270;2023;8;19;F;2;Bolsista;;;;;;;;10,0;;0
29;2023;8;18;M;1;Bolsista;;;;;;;;10,0;;0
17;2023;8;21;M;1;Bolsista;;;;;;;;10,0;;0
21;2023;8;19;M;1;Bolsista;;;;;;;;10,0;;0
25;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
2;2023;8;18;F;6;Bolsista;;;;;;;;10,0;;0
1271;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
1272;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
1273;2023;8;17;F;0;Bolsista;;;;;;;;10,0;;1
1274;2023;8;18;F;2;Bolsista;;;;;;;;10,0;;0
1275;2024;0;8;M;0;Pública;Ametista;7,611366666700001;10,002;8,6666666665;6,26;8,0;5,446666667;10,0;5,625;0
1276;2024;0;8;F;0;Pública;Topázio;8,002866666700001;10,002;9,3333333335;3,76;8,0;7,05;10,0;7,5;0
1277;2024;0;8;M;0;Pública;Ametista;7,952200000100001;10,002;9,0833333335;3,76;8,0;7,046666667;10,0;7,5;0
868;2024;0;8;M;1;Pública;Ametista;7,156366666600001;8,002;9,75;3,76;7,0;7,213333333;5,0;6,875;-1
1278;2024;0;9;M;0;Pública;Quartzo;5,444199999900001;9,002;4,1666666665;3,76;7,5;4,173333333;5,0;5,0;-1
1279;2024;0;9;F;0;Pública;Topázio;8,0822;10,002;10,0;6,26;8,25;7,78;5,0;7,5;-1
861;2024;0;9;F;1;Pública;Topázio;8,959700000000002;9,502;10,0;7,51;10,0;9,73;5,0;8,125;-1
862;2024;0;10;M;1;Pública;Ametista;7,346677272700001;9,002;8,6136363635;7,51;7,5;6,27;5,0;7,1875;-2
1280;2024;0;9;M;0;Pública;Topázio;8,152624242500002;10,002;9,5454545455;6,26;8,5;8,336666667;5,0;7,5;-1
1281;2024;0;9;F;0;Pública;Ametista;7,982890909100001;7,918;9,5454545455;6,26;9,25;7,78;5,0;7,5;-1
895;2024;0;9;F;1;Pública;Topázio;8,2579575757;9,502;9,5454545455;6,26;9,5;8,113333333;5,0;7,5;-1
884;2024;0;8;F;1;Pública;Topázio;8,0345030302;10,002;8,818181818;6,26;8,75;8,223333333;5,0;7,5;-1
1282;2024;0;9;F;0;Pública;Ametista;7,8769272727000015;9,502;8,1136363635;6,26;9,25;7,89;5,0;7,5;-1
889;2024;0;9;M;1;Pública;Topázio;8,191290909100001;8,502;9,2954545455;6,26;9,75;8,28;5,0;7,5;-1
867;2024;0;9;M;1;Pública;Ametista;7,583018181800001;9,002;7,409090909;7,51;8,5;7,5;5,0;7,5;-1
1283;2024;0;10;M;0;Pública;Topázio;8,3033538462;10,002;9,230769231;7,51;9,0;8,28;5,0;7,5;-2
891;2024;0;10;F;1;Pública;Topázio;8,035957575700001;10,002;9,0454545455;6,26;8,75;8,003333333;5,0;7,5;-1
1284;2024;0;8;F;0;Pública;Topázio;8,3800152174;9,002;9,347826087;2,51;10,0;7,89;10,0;7,8125;0
1012;2024;0;9;F;1;Pública;Topázio;8,057128571400002;9,502;9,523809524;2,51;9,75;8,443333333;5,0;8,125;-1
1285;2024;0;7;F;0;Pública;Topázio;8,156578882000002;10,002;8,830227742999998;2,51;8,0;8,946666667;10,0;7,5;0
1286;2024;0;7;M;0;Pública;Quartzo;5,914801966800001;8,002;5,051759834;2,51;7,0;4,61;10,0;5,3125;0
1287;2024;0;8;F;0;Pública;Ametista;7,619650310500001;10,002;9,3064182195;2,51;7,75;8,223333333;5,0;8,125;-1
1288;2024;0;7;F;0;Pública;Ametista;7,9208899585;9,002;7,9813664595;2,51;10,0;7,273333333;10,0;7,1875;0
1289;2024;0;10;F;0;Pública;Ametista;7,2171722223;7,002;9,4444444445;7,51;7,75;6,166666667;5,0;5,9375;-1
1290;2024;0;9;M;0;Pública;Topázio;8,407200000000001;10,002;10,0;7,51;8,75;8,28;5,0;7,5;-1
1291;2024;0;9;M;0;Pública;Topázio;8,079200000000002;9,502;9,5;7,51;8,25;7,89;5,0;7,5;-1
885;2024;0;9;M;1;Pública;Topázio;8,2072;8,502;10,0;7,51;8,5;8,28;5,0;7,5;-1
1292;2024;0;9;F;0;Pública;Ágata;6,9031621211;7,502;4,7727272725;7,51;8,25;7,893333333;5,0;7,1875;-1
1293;2024;0;9;F;0;Pública;Topázio;8,005023232300001;8,002;9,4949494945;7,51;8,5;8,336666667;5,0;6,875;-1
888;2024;0;8;M;1;Pública;Topázio;8,1942;9,002;10,0;6,88;8,5;8,28;5,0;7,5;-1
1294;2024;0;10;M;0;Pública;Ametista;7,9493666666;9,502;10,0;7,51;7,75;7,553333333;5,0;6,875;-2
1009;2024;0;9;M;1;Pública;Ágata;6,395389393900001;8,002;6,8863636365000005;2,51;7,5;6,553333333;5,0;6,5625;-1
1013;2024;0;8;M;1;Pública;Quartzo;5,7839559808;9,002;5,6937799039999994;2,51;7,75;4,72;5,0;5,0;-1
1295;2024;0;8;F;0;Pública;Topázio;8,0617454545;10,002;9,5227272725;2,51;7,5;8,28;10,0;7,5;0
1296;2024;0;9;F;0;Pública;Ametista;7,0574222223000005;9,002;8,4444444445;2,51;6,5;8,336666667;5,0;7,5;-1
863;2024;0;8;M;1;Pública;Quartzo;4,6684348484000004;8,502;3,159090909;2,51;5,5;4,333333333;5,0;4,6875;-1
1297;2024;0;8;M;0;Pública;Ametista;7,620247619000001;9,502;9,761904762;2,51;9,25;6,833333333;5,0;7,5;-1
1014;2024;0;8;F;1;Pública;Ágata;6,315972727300001;8,502;7,8863636365000005;2,51;5,25;7,0;5,0;6,875;-1
880;2024;0;8;F;1;Pública;Ágata;6,853080434800001;9,502;8,445652174;2,51;6,5;7,22;5,0;7,1875;-1
886;2024;0;8;F;1;Pública;Topázio;8,419200000000002;9,502;10,0;8,13;8,75;8,28;5,0;7,5;-1
1298;2024;0;8;M;0;Pública;Ametista;7,577287995300001;9,502;6,643356643500001;7,51;6,75;7,393333333;10,0;7,1875;0
1299;2024;0;10;M;0;Pública;Ametista;7,069727777800001;8,502;7,638888889;7,51;6,5;7,11;5,0;7,1875;-2
904;2024;0;8;F;1;Pública;Ametista;7,6352;9,502;8,75;7,51;6,0;8,67;5,0;7,5;-1
1300;2024;0;8;F;0;Pública;Ametista;7,623866666600001;8,502;8,75;2,51;9,0;8,613333333;5,0;7,5;-1
1301;2024;0;8;M;0;Pública;Quartzo;5,6345333333;9,502;2,9166666665000003;2,51;7,0;6,0;5,0;7,5;-1
1302;2024;0;8;M;0;Pública;Quartzo;5,758866666800001;10,002;5,416666667;2,51;4,0;4,996666667;10,0;6,25;0
1303;2024;0;8;F;0;Pública;Topázio;8,8352;10,002;10,0;2,51;10,0;9,17;10,0;7,5;0
1304;2024;0;10;F;0;Pública;Ametista;7,085119934500001;9,002;7,9575163395;8,135;6,0;6,493333333;5,0;7,8125;-2
1305;2024;0;10;F;0;Pública;Ágata;6,685221929800001;8,502;8,710526316;2,51;4,75;8,053333333;5,0;7,8125;-1
1306;2024;0;8;F;0;Pública;Topázio;8,503033333400001;9,002;10,0;8,135;9,75;7,946666667;5,0;7,5;-1
702;2024;0;10;F;2;Pública;Ametista;7,665116666600001;9,002;9,75;2,51;9,25;7,163333333;5,0;7,8125;-2
725;2024;0;10;M;2;Pública;Ametista;7,0900771929;7,502;7,6710526315;7,51;7,25;6,773333333;5,0;7,5;-1
912;2024;0;10;F;1;Pública;Ametista;7,697103508700001;9,002;9,4736842105;7,51;7,25;6,943333333;5,0;8,125;-2
918;2024;0;8;F;1;Pública;Quartzo;5,657357017600001;7,918;8,697368421;2,51;2,75;6,156666667;5,0;5,9375;-1
920;2024;0;9;F;1;Pública;Ametista;7,7494938597;9,502;7,6710526315;7,51;8,25;8,226666667;5,0;7,1875;-1
1307;2024;0;8;M;0;Pública;Ágata;6,5940333333000005;10,002;5,833333333500001;6,255;5,5;5,383333333;10,0;6,25;0
1308;2024;0;9;F;0;Pública;Ágata;6,876997101400001;10,002;7,445652174;7,51;6,0;5,933333333;5,0;7,5;-1
1309;2024;0;7;F;0;Pública;Topázio;8,379199999899999;9,002;9,1666666665;7,51;7,5;8,223333333;10,0;7,5;0
1310;2024;0;7;F;0;Pública;Topázio;8,3907833334;8,502;9,375;2,51;10,0;8,166666667;10,0;7,8125;0
1311;2024;0;8;M;0;Pública;Ágata;6,4118666668;9,002;9,166666667;2,51;0,0;8,386666667;10,0;7,5;0
1312;2024;0;9;M;0;Pública;Ametista;7,510200000000001;10,002;8,333333333;7,51;6,5;8,336666667;5,0;6,25;-1
1313;2024;0;8;M;0;Pública;Topázio;8,0155333334;9,502;8,125;7,51;6,25;8,446666667;10,0;7,5;0
1314;2024;0;7;F;0;Pública;Topázio;8,239799999999999;7,418;8,541666667;7,51;9,0;7,443333333;10,0;7,5;0
1315;2024;0;7;M;0;Pública;Topázio;8,3510666667;6,834;8,3333333335;7,51;9,0;8,5;10,0;7,5;0
921;2024;0;8;F;1;Pública;Ametista;7,2838203209;8,502;8,6631016045;7,51;6,0;7,5;5,0;7,5;-1
1316;2024;0;9;F;0;Pública;Ametista;7,59291123;9,002;8,20855615;7,51;7,75;7,5;5,0;7,5;-1
1317;2024;0;9;F;0;Pública;Ametista;7,665638502700001;7,502;7,0721925135;7,51;10,0;7,5;5,0;7,5;-1
897;2024;0;10;M;1;Pública;Quartzo;5,2212050505;7,002;2,7525252525;2,51;6,0;6,66;5,0;6,875;-1
908;2024;0;9;F;1;Pública;Ágata;6,764292246;8,502;8,14171123;7,51;4,75;6,83;5,0;7,1875;-1
916;2024;0;10;F;1;Pública;Quartzo;5,5058531621;8,502;7,3320158105;2,51;2,75;6,16;5,0;6,5625;-2
924;2024;0;9;M;1;Pública;Ágata;6,4727360962;7,002;4,598930481;7,51;7,0;7,415;5,0;7,1875;-1
925;2024;0;8;M;1;Pública;Ágata;6,587019518800001;8,002;7,005347594;7,51;4,75;7,33;5,0;7,1875;-1
1008;2024;0;9;M;1;Pública;Ágata;6,8667414438000005;7,002;6,483957219;7,51;7,0;7,5;5,0;7,1875;-1
919;2024;0;10;M;1;Pública;Quartzo;5,799702673800001;7,002;4,692513369;6,255;5,25;6,49;5,0;6,875;-2
1318;2024;0;8;F;0;Pública;Ágata;6,823383155100001;8,502;7,6871657755000005;7,51;5,0;7,33;5,0;7,1875;-1
1003;2024;0;9;M;1;Pública;Ametista;7,627588888900001;8,002;8,6944444445;7,51;8,25;7,5;5,0;6,875;-1
1004;2024;0;9;F;1;Pública;Ametista;7,801200000000001;9,502;9,25;7,51;7,5;7,5;5,0;7,5;-1
1006;2024;0;9;F;1;Pública;Ametista;7,040088888900001;8,502;8,4444444445;7,51;5,0;7,5;5,0;7,5;-1
1319;2024;0;9;M;0;Pública;Ametista;7,201526797300001;8,502;5,7516339865;7,51;8,5;7,5;5,0;7,5;-1
858;2024;0;9;M;2;Pública;Ágata;6,917866666700001;9,002;6,833333333500001;2,51;8,25;7,5;5,0;7,5;-1
905;2024;0;10;M;1;Pública;Ágata;6,3925823529;9,002;7,7794117645;7,51;3,0;6,99;5,0;6,875;-2
907;2024;0;9;F;1;Privada;Ametista;7,9400888889;9,002;8,9444444445;7,51;8,75;7,5;5,0;7,5;-1
1320;2024;0;10;M;0;Pública;Ametista;7,8845333333;9,002;9,1666666665;7,51;8,25;7,5;5,0;7,5;-1
909;2024;0;11;F;1;Pública;Ametista;7,722033333300001;10,002;8,1666666665;7,51;8,25;7,5;5,0;6,875;-2
729;2024;0;10;F;2;Pública;Ágata;6,684533333300001;8,002;8,4166666665;2,51;6,0;7,5;5,0;7,5;-1
1321;2024;0;7;M;0;Pública;Ametista;7,95295;9,002;8,875;6,885;8,75;5,915;10,0;6,5625;0
1322;2024;0;8;F;0;Pública;Topázio;8,47795;9,502;9,0;7,51;7,5;8,165;10,0;8,4375;0
1323;2024;0;9;M;0;Pública;Ametista;7,487366666700001;10,002;9,0833333335;7,51;7,0;6,66;5,0;6,875;-1
1324;2024;0;9;M;0;Pública;Topázio;8,332450000000001;10,002;10,0;7,51;8,5;8,0;5,0;7,8125;-1
931;2024;0;9;M;1;Pública;Ametista;7,075466666700001;7,918;8,5833333335;2,51;8,5;6,83;5,0;7,5;-1
1325;2024;0;8;M;0;Pública;Topázio;8,9824954545;9,002;9,5227272725;7,51;10,0;7,915;10,0;8,4375;0
1326;2024;0;8;F;0;Pública;Ametista;7,6397833333000005;9,002;9,2916666665;7,51;4,5;7,245;10,0;7,8125;0
1327;2024;0;7;F;0;Pública;Topázio;8,264116666700001;9,002;9,3333333335;7,51;7,5;7,325;10,0;7,8125;0
1328;2024;0;8;F;0;Pública;Topázio;8,0588666667;8,502;8,2083333335;7,51;10,0;7,83;5,0;7,5;-1
1329;2024;0;8;M;0;Pública;Ametista;7,98945;9,502;10,0;7,51;6,5;6,66;10,0;6,5625;0
1330;2024;0;8;F;0;Pública;Topázio;8,944616666700002;10,002;9,3333333335;7,51;9,5;7,915;10,0;8,4375;0
1331;2024;0;7;F;0;Pública;Ametista;7,8522833333;9,002;7,291666666499999;7,51;7,25;7,245;10,0;8,4375;0
944;2024;0;10;F;1;Pública;Ametista;7,8262;9,002;7,25;7,51;9,0;7,75;5,0;8,75;-2
1332;2024;0;10;M;0;Pública;Topázio;8,1040529412;8,502;9,411764706;7,51;8,25;7,665;5,0;9,375;-2
754;2024;0;11;M;2;Pública;Quartzo;5,6127;8,502;6,25;5,625;6,25;4,75;5,0;2,5;-2
1333;2024;0;9;M;0;Pública;Topázio;8,213199999999999;7,502;10,0;6,255;9,25;7,75;5,0;9,375;-1
934;2024;0;9;F;1;Pública;Topázio;8,338700000000001;9,502;9,75;7,51;8,5;7,75;5,0;9,375;-1
1334;2024;0;9;M;0;Pública;Topázio;8,350200000000001;10,002;10,0;5,625;9,0;7,75;5,0;9,375;-1
941;2024;0;9;F;1;Pública;Ametista;7,746700000000001;8,002;9,25;5,01;8,75;7,665;5,0;8,125;-1
756;2024;0;11;M;2;Pública;Ametista;7,361700000000001;10,002;8,75;7,51;5,5;7,24;5,0;8,125;-2
1335;2024;0;10;M;0;Pública;Topázio;8,3217;9,002;9,75;7,51;8,75;7,665;5,0;9,375;-2
773;2024;0;10;F;2;Pública;Ágata;6,566200000000001;10,002;8,75;2,51;5,0;6,575;5,0;7,5;-2
938;2024;0;10;M;1;Pública;Topázio;8,0056026915;9,502;9,544513457499999;7,51;7,75;7,665;5,0;8,125;-1
1336;2024;0;8;F;0;Pública;Ametista;7,141365631500001;9,502;6,2008281575;2,51;9,5;7,75;5,0;7,5;-1
1337;2024;0;10;M;0;Pública;Ágata;6,015144444400001;8,002;4,722222222;7,51;6,0;5,66;5,0;6,875;-2
1338;2024;0;8;M;0;Pública;Ágata;6,1368428571;8,002;8,6607142855;7,51;3,0;5,33;5,0;6,875;-1
1339;2024;0;8;F;0;Pública;Ametista;7,3547;8,502;10,0;6,885;8,75;5,33;5,0;5,0;-1
1340;2024;0;8;F;0;Pública;Topázio;8,3422714286;9,502;8,392857143;7,51;10,0;7,0;10,0;5,625;0
1341;2024;0;9;M;0;Pública;Ametista;7,862906349200001;10,002;9,246031746;7,51;10,0;6,0;5,0;5,625;-1
947;2024;0;9;M;1;Pública;Ágata;6,053509523800001;9,002;7,619047619;7,51;4,5;4,58;5,0;5,625;-1
1342;2024;0;8;M;0;Pública;Ametista;7,8185809524000005;9,502;9,761904762;7,51;9,0;5,575;5,0;7,5;-1
1343;2024;0;7;F;0;Pública;Topázio;8,8262;8,002;10,0;7,51;9,75;8,5;10,0;6,25;0
1344;2024;0;8;F;0;Pública;Topázio;9,3612;8,502;10,0;7,51;10,0;9,425;10,0;8,75;0
945;2024;0;9;M;1;Pública;Ametista;7,4195809524000005;9,002;9,511904762;2,51;8,75;6,83;5,0;7,5;-1
946;2024;0;8;M;1;Pública;Ágata;6,677723809500001;9,502;8,7976190475;2,51;4,5;7,835;5,0;7,5;-1
1345;2024;0;9;M;1;Pública;Ametista;7,2340128655000004;8,502;9,4590643275;7,51;6,25;6,83;5,0;6,25;-1
771;2024;0;9;F;2;Pública;Ágata;6,066009523800001;8,502;6,619047619;3,135;6,5;6,08;5,0;5,625;-1
1346;2024;0;8;M;0;Pública;Ametista;7,3701047619;9,502;8,0595238095;7,51;5,5;6,66;10,0;6,25;0
1347;2024;0;9;M;0;Pública;Ágata;6,153842857100001;8,502;8,7857142855;2,51;5,0;6,165;5,0;5,625;-1
949;2024;0;9;F;1;Pública;Ametista;7,1323428571;9,002;8,7857142855;7,51;6,5;6,495;5,0;6,25;-1
950;2024;0;9;F;1;Pública;Ametista;7,693461904800001;9,502;9,023809524;7,51;7,0;8,0;5,0;6,875;-1
951;2024;0;8;F;1;Privada;Ágata;6,4483428571;10,002;9,0357142855;2,51;4,0;7,325;5,0;6,25;-1
1002;2024;0;10;F;1;Pública;Ametista;7,967866666700001;9,002;7,833333333500001;7,51;9,25;8,25;5,0;7,5;-1
774;2024;0;10;F;2;Pública;Quartzo;5,685771428600001;10,002;6,3928571430000005;2,51;3,75;6,405;5,0;6,25;-1
749;2024;0;10;M;2;Pública;Topázio;8,3373184211;9,502;9,7368421055;8,13;8,75;7,665;5,0;8,4375;-2
929;2024;0;9;F;1;Pública;Ametista;7,7244368421;9,002;9,4736842105;7,51;6,75;7,58;5,0;8,125;-1
930;2024;0;9;M;1;Pública;Ametista;7,9298184211;8,502;9,7368421055;7,51;8,0;7,5;5,0;7,8125;-1
787;2024;0;10;M;2;Pública;Ametista;7,73495;9,002;9,75;7,51;7,25;7,325;5,0;7,1875;-1
1348;2024;0;8;M;0;Pública;Ametista;7,9604662539;7,502;8,5913312695;7,51;9,0;7,83;5,0;8,75;-1
935;2024;0;10;M;1;Pública;Topázio;8,3422;9,502;10,0;7,51;8,5;7,83;5,0;8,75;-1
1349;2024;0;10;M;0;Pública;Ametista;7,855727777800001;8,002;8,388888889;7,51;8,5;7,915;5,0;8,4375;-1
937;2024;0;9;F;1;Pública;Topázio;8,3792;10,002;10,0;9,38;7,5;7,83;5,0;8,75;-1
1350;2024;0;10;F;0;Pública;Topázio;8,335450000000002;8,502;10,0;8,755;8,5;7,83;5,0;8,4375;-2
1351;2024;0;9;M;0;Pública;Topázio;8,1861038462;9,002;9,230769231;8,13;8,75;7,665;5,0;8,4375;-1
959;2024;0;9;M;1;Pública;Topázio;8,379818421100001;10,002;9,7368421055;7,51;9,5;7,5;5,0;7,8125;-1
1352;2024;0;9;M;0;Pública;Topázio;8,289950000000001;10,002;9,5;8,13;8,5;7,665;5,0;8,4375;-1
1353;2024;0;10;F;0;Pública;Ágata;6,454700000000001;8,002;9,5;7,51;3,0;6,08;5,0;6,875;-1
1354;2024;0;10;F;0;Pública;Ametista;7,353427272700001;9,502;8,3636363635;7,51;6,0;7,335;5,0;8,125;-1
979;2024;0;9;M;1;Pública;Topázio;8,0352454545;9,502;9,5227272725;7,51;8,25;7,335;5,0;8,125;-1
1355;2024;0;10;M;0;Pública;Ametista;7,202245454500001;10,002;6,5227272725;7,51;7,0;7,17;5,0;8,125;-1
971;2024;0;9;M;1;Pública;Ágata;6,8916181818;7,418;7,909090909;7,51;6,75;6,085;5,0;7,5;-1
972;2024;0;9;M;1;Pública;Ametista;7,537472727300001;9,502;8,3863636365;7,51;6,75;7,17;5,0;8,75;-1
965;2024;0;10;F;1;Pública;Ágata;6,1376545455;9,002;6,4772727275;7,51;2,25;6,83;5,0;8,75;-2
973;2024;0;10;M;1;Pública;Ágata;6,9318363636;10,002;9,318181818;7,51;3,75;6,585;5,0;7,5;-2
1356;2024;0;8;F;0;Pública;Ametista;7,8695888889;9,002;9,4444444445;7,51;5,5;7,085;10,0;8,125;0
966;2024;0;10;M;1;Pública;Ametista;7,9943363636;9,502;8,568181818;7,51;9,0;7,335;5,0;8,125;-2
1357;2024;0;9;M;0;Pública;Ametista;7,1807;8,002;7,5;7,51;6,75;7,335;5,0;8,125;-1
969;2024;0;9;M;1;Pública;Ametista;7,453427272700001;9,002;7,8636363634999995;7,51;7,25;7,335;5,0;8,125;-1
